,lon,lat,idS,type,origin,clusterFinal
289,12.475721,41.911972,A2Q0,medio,True,34.0
290,12.505503,41.913844,A2Q0,medio,True,22.0
291,12.521941,41.888226,A2Q0,medio,True,87.0
292,12.493997,41.915619,A2Q0,largo,True,43.0
293,12.524038,41.919228,A2Q0,corto,True,117.0
294,12.518804,41.91212,A2Q0,corto,True,62.0
295,12.48332,41.854677,A2R1,corto,True,159.0
296,12.471157,41.856739,A2R1,corto,True,122.0
297,12.468067,41.869751,A2R1,corto,True,147.0
298,12.481989,41.875842,A2R1,corto,True,41.0
299,12.447101,41.878183,A2R1,corto,True,52.0
300,12.4471,41.878055,A2R1,medio,True,52.0
301,12.457964,41.8723,A2R1,corto,True,146.0
302,12.458618,41.880135,A2R1,largo,True,54.0
303,12.452817,41.86953,A2R1,corto,True,161.0
304,12.515509,41.9238,A2R1,corto,True,67.0
305,12.5174,41.923774,A2R1,corto,True,67.0
306,12.522418,41.922026,A2R1,corto,True,117.0
307,12.522567,41.921942,A2R1,corto,True,117.0
308,12.458337,41.909554,A3A9,largo,True,50.0
309,12.46445,41.902498,A3A9,corto,True,1.0
310,12.458663,41.913787,A3A9,medio,True,141.0
311,12.46531,41.9309,A3A9,corto,True,180.0
312,12.471083,41.923177,A3A9,corto,True,59.0
313,12.464047,41.929562,A3A9,medio,True,180.0
314,12.472598,41.945281,A3A9,corto,True,142.0
315,12.471132,41.941658,A3A9,corto,True,78.0
316,12.522892,41.879983,A3A9,corto,True,177.0
317,12.521826,41.888331,A3A9,corto,True,87.0
318,12.508544,41.880521,A3A9,corto,True,134.0
319,12.50773,41.879899,A3A9,corto,True,134.0
320,12.522309,41.884932,A3B7,corto,True,56.0
321,12.519437,41.878154,A3B7,corto,True,178.0
322,12.479929,41.854111,A3J6,medio,True,159.0
323,12.522976,41.874831,A3J6,corto,True,20.0
324,12.531019,41.879461,A3J6,corto,True,46.0
325,12.52304,41.874749,A3J6,corto,True,20.0
326,12.533679,41.875553,A3J6,largo,True,46.0
327,12.501827,41.909311,A3K2,medio,True,118.0
328,12.488411,41.88359,A3K2,corto,True,57.0
329,12.4721,41.886928,A3K2,medio,True,88.0
330,12.499262,41.916153,A3O5,corto,True,31.0
331,12.506463,41.922677,A3O5,corto,True,13.0
332,12.50022,41.9204,A3O5,medio,True,31.0
333,12.458618,41.878324,A3O5,medio,True,54.0
334,12.458846,41.878432,A3O5,corto,True,54.0
335,12.452655,41.870107,A3O5,corto,True,161.0
336,12.462418,41.866261,A3O5,corto,True,86.0
337,12.527649,41.877648,A3O5,corto,True,116.0
338,12.510405,41.876046,A3O5,corto,True,85.0
339,12.530581,41.873443,A3O9,largo,True,74.0
340,12.473053,41.907637,A3O9,corto,True,149.0
341,12.480195,41.90634,A3O9,corto,True,14.0
342,12.493915,41.889504,A3O9,corto,True,68.0
343,12.481668,41.896717,A3O9,corto,True,35.0
344,12.521065,41.876374,A3Q8,corto,True,178.0
345,12.513234,41.881816,A3Q8,corto,True,64.0
346,12.47966,41.890821,A3Q8,largo,True,73.0
347,12.484311,41.867076,A3Q8,corto,True,105.0
348,12.478987,41.878539,A3Q8,corto,True,101.0
349,12.504773,41.90756,A3T4,corto,True,118.0
350,12.499321,41.897346,A3T4,largo,True,121.0
351,12.472167,41.88658,A3T4,corto,True,88.0
352,12.478529,41.891241,A3T4,medio,True,73.0
353,12.45101,41.913937,A3T4,corto,True,12.0
354,12.485878,41.846392,A3T4,corto,True,136.0
355,12.483489,41.846051,A3T4,corto,True,157.0
356,12.486371,41.848101,A3T4,corto,True,136.0
357,12.483582,41.84615,A3T4,corto,True,157.0
358,12.483673,41.846131,A3T4,corto,True,157.0
359,12.477534,41.857044,A3T4,largo,True,2.0
360,12.485356,41.871371,A3T4,corto,True,70.0
361,12.477952,41.858776,A3U5,medio,True,2.0
362,12.474423,41.889947,A3U5,medio,True,10.0
363,12.476216,41.930304,A3U5,corto,True,110.0
364,12.474324,41.929683,A3U5,medio,True,110.0
365,12.481367,41.925761,A3U5,corto,True,71.0
366,12.490118,41.866874,A3U5,medio,True,175.0
367,12.509384,41.885464,A3U5,corto,True,61.0
368,12.508425,41.880045,A3U5,corto,True,134.0
369,12.518977,41.876413,A3U5,corto,True,178.0
370,12.514313,41.874613,A3U5,medio,True,188.0
371,12.521508,41.888297,A3U5,corto,True,87.0
372,12.479995,41.844913,A3U9,corto,True,157.0
373,12.484767,41.842219,A3U9,corto,True,111.0
374,12.483744,41.842892,A3U9,corto,True,111.0
375,12.475754,41.911816,A3U9,corto,True,34.0
376,12.468751,41.915613,A3U9,corto,True,132.0
377,12.473771,41.911143,A3U9,corto,True,34.0
378,12.515124,41.88215,A4C8,medio,True,64.0
379,12.479872,41.892828,A4C8,medio,True,153.0
380,12.465869,41.911667,A4C8,largo,True,83.0
381,12.504002,41.87973,A4C8,corto,True,162.0
382,12.512994,41.881686,A4C8,corto,True,64.0
383,12.509723,41.876545,A4C8,corto,True,85.0
384,12.513193,41.881764,A4C8,corto,True,64.0
385,12.509727,41.876497,A4C8,corto,True,85.0
386,12.520203,41.87664,A4C8,corto,True,178.0
387,12.513841,41.873651,A4C8,corto,True,188.0
388,12.519179,41.877739,A4C8,corto,True,178.0
389,12.509678,41.903809,A4C8,corto,True,92.0
390,12.509021,41.904566,A4C8,corto,True,92.0
391,12.508933,41.904538,A4C8,corto,True,92.0
392,12.485662,41.902625,A4H6,corto,True,143.0
393,12.477864,41.897253,A4H6,corto,True,28.0
394,12.476676,41.899969,A4H6,corto,True,125.0
395,12.501941,41.90935,A4H6,medio,True,118.0
396,12.510439,41.909913,A4H6,corto,True,181.0
397,12.44733,41.907644,A4H6,largo,True,49.0
398,12.467079,41.891379,A4H6,corto,True,107.0
399,12.461004,41.882034,A4H6,corto,True,90.0
400,12.498992,41.901915,A4H8,medio,True,165.0
401,12.481114,41.926496,A4H8,corto,True,71.0
402,12.478451,41.928349,A4H8,medio,True,71.0
403,12.465848,41.938149,A4H8,corto,True,98.0
404,12.462003,41.940286,A4H8,corto,True,98.0
405,12.466162,41.939279,A4H8,corto,True,98.0
406,12.516079,41.921676,A4H8,corto,True,67.0
407,12.510091,41.916413,A4H8,corto,True,97.0
408,12.516997,41.923995,A4H8,medio,True,67.0
409,12.487038,41.897049,A4H8,medio,True,176.0
410,12.51508,41.882091,A4H8,corto,True,64.0
411,12.521692,41.887849,A4H8,medio,True,87.0
412,12.523499,41.87119,A4H8,medio,True,151.0
413,12.466018,41.937506,A4H8,largo,True,98.0
414,12.477939,41.906707,A4H8,corto,True,156.0
415,12.478089,41.904302,A4H8,corto,True,156.0
416,12.475095,41.907193,A4H8,corto,True,149.0
417,12.490925,41.899378,A4I0,corto,True,184.0
418,12.481161,41.906557,A4I0,medio,True,14.0
419,12.49448,41.890154,A4I0,corto,True,68.0
420,12.498486,41.882557,A4I0,corto,True,69.0
421,12.462455,41.899733,A4K7,corto,True,1.0
422,12.474158,41.889967,A4K7,corto,True,10.0
423,12.463157,41.898669,A4K7,corto,True,1.0
424,12.473154,41.88807,A4K7,corto,True,10.0
425,12.48276,41.875591,A4K7,medio,True,41.0
426,12.463998,41.861221,A4K7,corto,True,33.0
427,12.477933,41.874278,A4K7,medio,True,17.0
428,12.477945,41.906444,A4K7,largo,True,156.0
429,12.473072,41.879229,A4K7,corto,True,51.0
430,12.479334,41.873626,A4K7,corto,True,17.0
431,12.480138,41.871974,A4K7,corto,True,17.0
432,12.479325,41.873466,A4K7,corto,True,17.0
433,12.516925,41.884014,A4K7,corto,True,171.0
434,12.523703,41.883817,A4K7,corto,True,56.0
435,12.514289,41.882115,A4K7,corto,True,64.0
436,12.52006,41.876702,A4K7,corto,True,178.0
437,12.515977,41.880426,A4K7,corto,True,77.0
438,12.498568,41.905471,A4M7,corto,True,91.0
439,12.508512,41.91411,A4M7,corto,True,22.0
440,12.5274,41.913049,A4M7,corto,True,94.0
441,12.524474,41.873417,A4M7,corto,True,20.0
442,12.516992,41.884088,A4R0,corto,True,171.0
443,12.520487,41.876659,A4R0,medio,True,178.0
444,12.502607,41.894663,A4R0,corto,True,29.0
445,12.468493,41.867189,A4R0,medio,True,174.0
446,12.468254,41.887839,A4R0,corto,True,42.0
447,12.508482,41.911289,A4R2,largo,True,181.0
448,12.46138,41.926254,A4R2,largo,True,45.0
449,12.493732,41.900944,A4R2,corto,True,184.0
450,12.466919,41.936532,A4R2,medio,True,98.0
451,12.475818,41.911656,A4R2,medio,True,34.0
452,12.495831,41.890678,A4R2,corto,True,68.0
453,12.506997,41.890249,A4R2,corto,True,76.0
454,12.492384,41.891943,A4R2,corto,True,109.0
455,12.510108,41.882055,A4R2,corto,True,0.0
456,12.526818,41.871304,A4R2,corto,True,74.0
457,12.526258,41.873034,A4R2,corto,True,74.0
458,12.525358,41.873054,A4R2,corto,True,74.0
459,12.526163,41.873241,A4R2,corto,True,74.0
460,12.523262,41.875018,A4R2,corto,True,20.0
461,12.529133,41.875846,A4R2,corto,True,46.0
462,12.531518,41.875748,A4R2,corto,True,46.0
463,12.52391,41.875595,A4R2,corto,True,20.0
464,12.491083,41.894173,A4U0,corto,True,44.0
465,12.473678,41.896568,A4U0,corto,True,48.0
466,12.490851,41.894503,A4U0,medio,True,44.0
467,12.470947,41.876402,A4U0,medio,True,51.0
468,12.500863,41.881763,A4U0,corto,True,69.0
469,12.512022,41.883451,A4U0,medio,True,64.0
470,12.531488,41.876767,A4U0,corto,True,46.0
471,12.521633,41.887723,A4U0,corto,True,87.0
472,12.487827,41.883817,A4U0,medio,True,57.0
473,12.467733,41.871023,A4U0,corto,True,147.0
474,12.478697,41.826677,A4U0,medio,True,145.0
475,12.465765,41.834478,A4U0,corto,True,126.0
476,12.467353,41.834502,A4U0,largo,True,169.0
477,12.467361,41.870991,A4X9,corto,True,147.0
478,12.467392,41.871026,A4X9,medio,True,147.0
479,12.470186,41.895439,A4X9,medio,True,48.0
480,12.512297,41.923203,A4X9,medio,True,96.0
481,12.485508,41.923889,A4X9,medio,True,19.0
482,12.510264,41.923346,A4X9,medio,True,96.0
483,12.467428,41.870965,A4Y4,medio,True,147.0
484,12.471623,41.895015,A4Y4,corto,True,48.0
485,12.467433,41.898658,A4Y4,largo,True,155.0
486,12.488266,41.893425,A4Y4,corto,True,129.0
487,12.476397,41.906536,A4Y4,medio,True,63.0
488,12.476233,41.912298,A4Y4,corto,True,34.0
489,12.478049,41.908227,A4Y4,medio,True,166.0
490,12.481902,41.877276,A4Y4,corto,True,41.0
491,12.473821,41.879515,A4Y4,medio,True,51.0
492,12.513282,41.881763,A4Y4,corto,True,64.0
493,12.509703,41.876399,A4Y4,corto,True,85.0
494,12.51323,41.881713,A4Y4,corto,True,64.0
495,12.510439,41.877332,A4Y4,corto,True,85.0
496,12.512843,41.881722,A4Y4,corto,True,64.0
497,12.509712,41.87647,A4Y4,corto,True,85.0
498,12.458575,41.914875,A4Y4,corto,True,141.0
499,12.459925,41.919478,A4Y4,corto,True,89.0
500,12.477996,41.860583,A5A2,largo,True,173.0
501,12.492033,41.853303,A5A2,corto,True,183.0
502,12.49696,41.898454,A5A2,corto,True,121.0
503,12.485093,41.897161,A5A2,corto,True,176.0
504,12.476626,41.896012,A5A2,corto,True,28.0
505,12.491192,41.891374,A5A2,medio,True,109.0
506,12.477939,41.902256,A5A2,corto,True,84.0
507,12.469172,41.904592,A5A2,corto,True,47.0
508,12.476814,41.909491,A5A2,corto,True,166.0
509,12.481687,41.905399,A5A2,corto,True,14.0
510,12.481587,41.905443,A5A2,corto,True,14.0
511,12.456264,41.885036,A5C0,corto,True,170.0
512,12.46613,41.911544,A5C0,corto,True,83.0
513,12.462006,41.919817,A5C0,corto,True,21.0
514,12.46272,41.919092,A5C0,corto,True,21.0
515,12.476566,41.89565,A5C0,corto,True,28.0
516,12.46915,41.89512,A5C0,medio,True,155.0
517,12.471199,41.878162,A5C0,medio,True,51.0
518,12.51157,41.874447,A5C0,corto,True,188.0
519,12.528498,41.872483,A5C0,corto,True,74.0
520,12.514021,41.873846,A5C0,corto,True,188.0
521,12.526224,41.876841,A5E0,corto,True,116.0
522,12.512087,41.881624,A5E0,corto,True,0.0
523,12.46883,41.905389,A5E0,largo,True,47.0
524,12.520705,41.886622,A5E0,corto,True,87.0
525,12.526599,41.871734,A5E0,corto,True,74.0
526,12.526057,41.872467,A5E0,medio,True,74.0
527,12.495183,41.8898,A5E0,corto,True,68.0
528,12.505299,41.888728,A5E0,corto,True,152.0
